time,respiration,heartbeat
10:09:44,16.6808109696989,66.5962242475369
10:09:44,16.6808109696989,66.5962242475369
10:09:45,16.8563709950516,63.9906107985725
10:09:46,16.7794840708145,63.8407626353005
10:09:47,16.5712752092423,63.2758567981629
10:09:48,16.709845185842,63.7987767688063
10:09:49,16.8975702110212,64.0435524120704
10:09:50,16.6650321008455,63.8444399738727
10:09:51,16.6740422031788,63.8727424872767
10:09:52,16.6649166543298,63.6569462704176
10:09:53,16.6185638311625,63.8819724533079
10:09:54,16.9837287881347,64.1499497325677
10:09:55,17.1025335075713,63.7900012128104
10:09:56,17.1315572017766,60.7450487378775
10:09:57,17.0917210756905,62.1482649724423
10:09:58,16.5815816618074,62.9325330999369
10:09:59,16.9852655193086,63.9970949496177
10:10:00,16.7236183478398,61.8589434565208
10:10:01,17.0347554758811,61.8479118226213
10:10:03,16.7765095271713,59.4872870103974
